Year,Series,Winner,W,Loser,W,Favorite,Underdog
2019,Eastern Conf First Round,Milwaukee Bucks (1),4,Detroit Pistons (8),0,MIL (-3500),DET (+1750)
2019,Eastern Conf First Round,Toronto Raptors (2),4,Orlando Magic (7),1,TOR (-1200),ORL (+775)
2019,Eastern Conf First Round,Philadelphia 76ers (3),4,Brooklyn Nets (6),1,PHI (-600),BRK (+450)
2019,Eastern Conf First Round,Boston Celtics (4),4,Indiana Pacers (5),0,BOS (-465),IND (+370)
2019,Western Conf First Round,Golden State Warriors (1),4,Los Angeles Clippers (8),2,GSW (-15000),LAC (+6000)
2019,Western Conf First Round,Denver Nuggets (2),4,San Antonio Spurs (7),3,DEN (-270),SAS (+230)
2019,Western Conf First Round,Portland Trail Blazers (3),4,Oklahoma City Thunder (6),1,OKC (-165),POR (+145)
2019,Western Conf First Round,Houston Rockets (4),4,Utah Jazz (5),1,HOU (-310),UTA (+255)
2019,Eastern Conf Semifinals,Milwaukee Bucks (1),4,Boston Celtics (4),1,MIL (-360),BOS (+300)
2019,Eastern Conf Semifinals,Toronto Raptors (2),4,Philadelphia 76ers (3),3,TOR (-290),PHI (+245)
2019,Western Conf Semifinals,Golden State Warriors (1),4,Houston Rockets (4),2,GSW (-280),HOU (+240)
2019,Western Conf Semifinals,Portland Trail Blazers (3),4,Denver Nuggets (2),3,DEN (-145),POR (+125)
2019,Eastern Conf Finals,Toronto Raptors (2),4,Milwaukee Bucks (1),2,MIL (-270),TOR (+230)
2019,Western Conf Finals,Golden State Warriors (1),4,Portland Trail Blazers (3),0,GSW (-550),POR (+425)
2019,Finals,Toronto Raptors (2),4,Golden State Warriors (1),2,GSW (-270),TOR (+230)
2018,Eastern Conf First Round,Toronto Raptors (1),4,Washington Wizards (8),2,TOR (-630),WAS (+465)
2018,Eastern Conf First Round,Boston Celtics (2),4,Milwaukee Bucks (7),3,BOS (-150),MIL (+130)
2018,Eastern Conf First Round,Philadelphia 76ers (3),4,Miami Heat (6),1,PHI (-500),MIA (+400)
2018,Eastern Conf First Round,Cleveland Cavaliers (4),4,Indiana Pacers (5),3,CLE (-600),IND (+450)
2018,Western Conf First Round,Houston Rockets (1),4,Minnesota Timberwolves (8),1,HOU (-3000),MIN (+1500)
2018,Western Conf First Round,Golden State Warriors (2),4,San Antonio Spurs (7),1,GSW (-900),SAS (+600)
2018,Western Conf First Round,New Orleans Pelicans (6),4,Portland Trail Blazers (3),0,POR (-220),NOP (+180)
2018,Western Conf First Round,Utah Jazz (5),4,Oklahoma City Thunder (4),2,OKC (-140),UTA (+120)
2018,Western Conf Semifinals,Golden State Warriors (2),4,New Orleans Pelicans (6),1,GSW (-1050),NOP (+675)
2018,Western Conf Semifinals,Houston Rockets (1),4,Utah Jazz (5),1,HOU (-1500),UTA (+1000)
2018,Eastern Conf Semifinals,Boston Celtics (2),4,Philadelphia 76ers (3),1,PHI (-525),BOS (+415)
2018,Eastern Conf Semifinals,Cleveland Cavaliers (4),4,Toronto Raptors (1),0,TOR (-190),CLE (+165)
2018,Eastern Conf Finals,Cleveland Cavaliers (4),4,Boston Celtics (2),3,CLE (-275),BOS (+235)
2018,Western Conf Finals,Golden State Warriors (2),4,Houston Rockets (1),3,GSW (-200),HOU (+170)
2018,Finals,Golden State Warriors (2),4,Cleveland Cavaliers (4),0,GSW (-1075),CLE (+688)
2017,Eastern Conf First Round,Boston Celtics (1),4,Chicago Bulls (8),2,BOS (-470),CHI (+375)
2017,Eastern Conf First Round,Cleveland Cavaliers (2),4,Indiana Pacers (7),0,CLE (-1100),IND (+700)
2017,Eastern Conf First Round,Toronto Raptors (3),4,Milwaukee Bucks (6),2,TOR (-440),MIL (+350)
2017,Eastern Conf First Round,Washington Wizards (4),4,Atlanta Hawks (5),2,WAS (-220),ATL (+180)
2017,Western Conf First Round,Golden State Warriors (1),4,Portland Trail Blazers (8),0,GSW (-7000),POR (+3000)
2017,Western Conf First Round,San Antonio Spurs (2),4,Memphis Grizzlies (7),2,SAS (-1070),MEM (+685)
2017,Western Conf First Round,Houston Rockets (3),4,Oklahoma City Thunder (6),1,HOU (-390),OKC (+320)
2017,Western Conf First Round,Utah Jazz (5),4,Los Angeles Clippers (4),3,LAC (-245),UTA (+205)
2017,Eastern Conf Semifinals,Cleveland Cavaliers (2),4,Toronto Raptors (3),0,CLE (-475),TOR (+380)
2017,Eastern Conf Semifinals,Boston Celtics (1),4,Washington Wizards (4),3,BOS (-185),WAS (+160)
2017,Western Conf Semifinals,Golden State Warriors (1),4,Utah Jazz (5),0,GSW (-3200),UTA (+1600)
2017,Western Conf Semifinals,San Antonio Spurs (2),4,Houston Rockets (3),2,SAS (-300),HOU (+250)
