,Team,Salary,Player,Position,Season,Playoffs,Team Winning Percentage
0,Minnesota Timberwolves,25200000.0,Kevin Garnett, PF,2003,Conf First Round,0.622
1,Portland Trail Blazers,13500000.0,Damon Stoudamire, PG,2003,Conf First Round,0.61
2,Seattle SuperSonics,13080000.0,Gary Payton, PG,2003,Did not make the Playoffs,0.488
3,Seattle SuperSonics,12375000.0,Ray Allen, SG,2003,Did not make the Playoffs,0.488
4,New York Knicks,12375000.0,Latrell Sprewell, SG,2003,Did not make the Playoffs,0.451
5,Boston Celtics,12375000.0,Antoine Walker, PF,2003,Conf Semifinals,0.537
6,Phoenix Suns,12375000.0,Stephon Marbury, PG,2003,Conf First Round,0.537
7,San Antonio Spurs,12072000.0,Tim Duncan, C,2003,Champion,0.732
8,Orlando Magic,12072000.0,Tracy McGrady, SG,2003,Conf First Round,0.512
9,Orlando Magic,12072000.0,Grant Hill, SF,2003,Conf First Round,0.512
10,Indiana Pacers,12046000.0,Reggie Miller, SG,2003,Conf First Round,0.585
11,Los Angeles Lakers,23571000.0,Shaquille O'Neal, C,2003,Conf Semifinals,0.61
12,Toronto Raptors,12000000.0,Antonio Davis, PF,2003,Did not make the Playoffs,0.293
13,Dallas Mavericks,11953000.0,Michael Finley, SG,2003,Conf Finals,0.732
14,Sacramento Kings,11248000.0,Vlade Divac, C,2003,Conf Semifinals,0.72
15,Miami Heat,11200000.0,Eddie Jones, SG,2003,Did not make the Playoffs,0.305
16,Miami Heat,11121000.0,Brian Grant, PF,2003,Did not make the Playoffs,0.305
17,New York Knicks,11000000.0,Allan Houston, SG,2003,Did not make the Playoffs,0.451
18,Phoenix Suns,10890000.0,Tom Gugliotta, PF,2003,Conf First Round,0.537
19,Milwaukee Bucks,10750000.0,Tim Thomas, PF,2003,Conf First Round,0.512
20,Toronto Raptors,10625000.0,Vince Carter, SF,2003,Did not make the Playoffs,0.293
21,San Antonio Spurs,10500000.0,David Robinson, C,2003,Champion,0.732
22,Orlando Magic,21500000.0,Shawn Kemp, C,2003,Conf First Round,0.512
23,Dallas Mavericks,10003000.0,Nick Van Exel, PG,2003,Conf Finals,0.732
24,San Antonio Spurs,9900000.0,Steve Smith, SG,2003,Champion,0.732
25,Atlanta Hawks,9860000.0,Glenn Robinson, SF,2003,Did not make the Playoffs,0.42700000000000005
26,Philadelphia 76ers,9830000.0,Derrick Coleman, PF,2003,Conf Semifinals,0.585
27,Atlanta Hawks,9375000.0,Theo Ratliff, C,2003,Did not make the Playoffs,0.42700000000000005
28,New Jersey Nets,9260000.0,Jason Kidd, PG,2003,Finals,0.598
29,Houston Rockets,9200000.0,Glen Rice, SF,2003,Did not make the Playoffs,0.524
30,Seattle SuperSonics,9185000.0,Kenny Anderson, PG,2003,Did not make the Playoffs,0.488
31,Utah Jazz,9000000.0,John Stockton, G,2003,Conf First Round,0.573
32,New Jersey Nets,8717000.0,Kerry Kittles, SG,2003,Finals,0.598
33,Denver Nuggets,20625000.0,Juwan Howard, PF,2003,Did not make the Playoffs,0.207
34,Detroit Pistons,8421000.0,Clifford Robinson, PF,2003,Conf Finals,0.61
35,Portland Trail Blazers,19727000.0,Scottie Pippen, SF,2003,Conf First Round,0.61
36,Utah Jazz,19250000.0,Karl Malone, PF,2003,Conf First Round,0.573
37,Portland Trail Blazers,16200000.0,Rasheed Wallace, PF,2003,Conf First Round,0.61
38,New Jersey Nets,16105000.0,Dikembe Mutombo, C,2003,Finals,0.598
39,Sacramento Kings,14343000.0,Chris Webber, C,2003,Conf Semifinals,0.72
40,Milwaukee Bucks,8050000.0,Toni Kukoc, SF,2003,Conf First Round,0.512
41,Portland Trail Blazers,8000000.0,Dale Davis, PF,2003,Conf First Round,0.61
42,Seattle SuperSonics,7975000.0,Elden Campbell, C,2003,Did not make the Playoffs,0.488
